country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.5,28.7,32.9,34.8,,28,25.5,,,,,,,53.1,129,104,146,100,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.1,,,58.2,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.8,82.1,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9,,12.9,14.6,13.8,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.4,,17.4,14.3,29.3,,,,,,,16.8,29,27.7,27.1,23.7,22.3
UAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.2,17.7,17.3,16.1,13.1,10.4,10.9,11.7,13.1,14.2,15,17.7,16.1,15.9,16.3,16.8,16.3,17.2,16.1,16.9,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.37,7.1,7.46,7.22,6.26,6.88,7.88,9.84,9.77,9.88,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5,,,,,,,,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,26.6,,,,,,,,,,,,,,,,,19.1,22.3,21.9,21.5,17.8,,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.6,,,,,,,,,36.9,35.6,36.2,34.3,31.5,37.1,36.3,35.8,36,36.2,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.37,9.56,13.5,22.3,19.6,18,,,,17.9,23.3,19.4,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1030,741,837,476,,311,242,,,410,391,362,346,319,309,,,,,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.7,,,35.8,36.5,34.8,33.5,,32.9,33.6,32.3,32.2,,
